,Applicant country,Region,Patent Count,Total Citations,Percentage of Total Patents,Average Citation Count,Degree Centrality,Betweenness Centrality,First Year,Last Year,2023 Classification,Duration (Years),Mean Patents/Year
0,Australia,Europe,29.0,29.0,0.8737571557698103,1.0,0.15384615384615385,0.0041025641025641026,2015.0,2023.0,Continuant,9.0,3.2222222222222223
1,Austria,Europe,4.0,0.0,0.12051822838204278,0.0,0.038461538461538464,0.0,2016.0,2021.0,Terminator,6.0,0.6666666666666666
2,Belgium,Europe,12.0,4.0,0.3615546851461284,0.3333333333333333,0.038461538461538464,0.0,2016.0,2022.0,Terminator,7.0,1.7142857142857142
3,Bulgaria,Europe,1.0,0.0,0.030129557095510694,0.0,,,2017.0,2017.0,Transient,1.0,1.0
4,Canada,North America,32.0,45.0,0.9641458270563422,1.40625,0.07692307692307693,0.0,1998.0,2023.0,Continuant,26.0,1.2307692307692308
5,China,Asia,1158.0,2188.0,34.89002711660139,1.8894645941278065,0.34615384615384615,0.1723076923076923,2007.0,2023.0,Continuant,17.0,68.11764705882354
6,Cyprus,Europe,2.0,0.0,0.06025911419102139,0.0,0.038461538461538464,0.0,2021.0,2022.0,Terminator,2.0,1.0
7,Czech Republic,Europe,7.0,23.0,0.21090689966857487,3.2857142857142856,0.038461538461538464,0.0,2016.0,2021.0,Terminator,6.0,1.1666666666666667
8,Denmark,Europe,15.0,23.0,0.4519433564326604,1.5333333333333334,0.07692307692307693,0.0,2015.0,2023.0,Continuant,9.0,1.6666666666666667
9,Finland,Europe,4.0,0.0,0.12051822838204278,0.0,,,2017.0,2022.0,Terminator,6.0,0.6666666666666666
10,France,Europe,84.0,227.0,2.5308827960228983,2.7023809523809526,0.3076923076923077,0.08174358974358974,2008.0,2023.0,Continuant,16.0,5.25
11,Germany,Europe,87.0,45.0,2.6212714673094304,0.5172413793103449,0.34615384615384615,0.08492307692307692,2015.0,2023.0,Continuant,9.0,9.666666666666666
12,India,Asia,9.0,0.0,0.27116601385959627,0.0,0.038461538461538464,0.0,2013.0,2023.0,Continuant,11.0,0.8181818181818182
13,Iran,Asia,1.0,0.0,0.030129557095510694,0.0,,,2019.0,2019.0,Transient,1.0,1.0
14,Ireland,Europe,16.0,16.0,0.4820729135281711,1.0,0.07692307692307693,0.0,2016.0,2023.0,Continuant,8.0,2.0
15,Israel,Asia,30.0,26.0,0.9038867128653209,0.8666666666666667,0.15384615384615385,0.004717948717948717,2011.0,2023.0,Continuant,13.0,2.3076923076923075
16,Italy,Europe,10.0,22.0,0.30129557095510695,2.2,,,2010.0,2023.0,Continuant,14.0,0.7142857142857143
17,Japan,Asia,147.0,200.0,4.429044893040072,1.3605442176870748,0.23076923076923078,0.03876923076923077,1997.0,2023.0,Continuant,27.0,5.444444444444445
18,Luxembourg,Europe,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
19,Macau,Asia,4.0,5.0,0.12051822838204278,1.25,0.038461538461538464,0.0,2018.0,2022.0,Terminator,5.0,0.8
20,Malaysia,Asia,1.0,0.0,0.030129557095510694,0.0,0.038461538461538464,0.0,2020.0,2020.0,Transient,1.0,1.0
21,Netherlands,Europe,42.0,227.0,1.2654413980114492,5.404761904761905,0.11538461538461539,0.0020512820512820513,2011.0,2023.0,Continuant,13.0,3.230769230769231
22,Norway,Europe,9.0,1.0,0.27116601385959627,0.1111111111111111,0.07692307692307693,0.0,2016.0,2022.0,Terminator,7.0,1.2857142857142858
23,Portugal,Europe,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
24,Russia,Europe,15.0,1.0,0.4519433564326604,0.06666666666666667,0.038461538461538464,0.0,2016.0,2023.0,Continuant,8.0,1.875
25,Singapore,Asia,10.0,7.0,0.30129557095510695,0.7,0.038461538461538464,0.0,2015.0,2022.0,Terminator,8.0,1.25
26,South Korea,Asia,156.0,65.0,4.7002109068996685,0.4166666666666667,0.2692307692307693,0.02123076923076923,2008.0,2023.0,Continuant,16.0,9.75
27,Spain,Europe,11.0,3.0,0.3314251280506177,0.2727272727272727,0.07692307692307693,0.0,2016.0,2023.0,Continuant,8.0,1.375
28,Sweden,Europe,12.0,7.0,0.3615546851461284,0.5833333333333334,0.07692307692307693,0.0007692307692307692,2017.0,2023.0,Continuant,7.0,1.7142857142857142
29,Switzerland,Europe,112.0,229.0,3.374510394697198,2.044642857142857,0.2692307692307693,0.09200000000000001,2009.0,2023.0,Continuant,15.0,7.466666666666667
30,Taiwan,Asia,23.0,7.0,0.6929798131967461,0.30434782608695654,0.11538461538461539,0.0023076923076923075,2015.0,2022.0,Terminator,8.0,2.875
31,Turkey,Europe,1.0,0.0,0.030129557095510694,0.0,,,2019.0,2019.0,Transient,1.0,1.0
32,United Kingdom,Europe,74.0,481.0,2.2295872250677915,6.5,0.19230769230769232,0.07856410256410255,2003.0,2023.0,Continuant,21.0,3.5238095238095237
33,United States,North America,1304.0,4049.0,39.28894245254595,3.1050613496932513,0.7692307692307693,0.6288205128205129,1998.0,2023.0,Continuant,26.0,50.15384615384615
